Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
China,Aruba,2019,Exports & Imports,838,19,18.95,0.43,38946.36,38994.19,47.84,0,0,3.89,2.73,39,46.15,53.85,0,0,15,0,0,19.1,1.16,3.89,2.73,39,46.15,53.85,0,0,15,0,0,19.1,1.16,
China,Afghanistan,2019,Exports & Imports,1438,121,32.51,2.74,570520.22,599799.48,29279.26,0,0.02,6.49,16.39,401,87.03,12.97,0,0,38,0,0,22492.07,1508.43,6.49,16.39,401,87.03,12.97,0,0,38,0,0,22492.07,1508.43,1
China,Angola,2019,Exports & Imports,2209,58,49.94,1.31,-21781674.73,2055727.42,23837402.14,1.15,0.08,4.02,0.09,210,56.19,43.81,0,0,15,0,0,454400.46,25197506.59,4.02,0.09,210,56.19,43.81,0,0,15,0,0,454400.46,25197506.59,1
China,Albania,2019,Exports & Imports,1871,254,42.3,5.74,498372.53,601093.18,102720.65,0,0.02,6.78,1.02,761,88.83,11.17,0,0,20,0,0,16584.01,91105.7,6.78,1.02,761,88.83,11.17,0,0,20,0,0,16584.01,91105.7,
China,Andorra,2019,Exports & Imports,382,92,8.64,2.08,2343.56,2553.57,210.01,0,0,5.1,1.91,237,70.89,29.11,0,0,20,0,0,122.59,40.34,5.1,1.91,237,70.89,29.11,0,0,20,0,0,122.59,40.34,
China,United Arab Emirates,2019,Exports & Imports,3358,874,75.92,19.76,18076156.2,33412894.76,15336738.56,0.74,1.34,6.91,2.85,2467,83.5,16.3,0.2,0,57,0,899.96,8911470.93,6996137.92,6.91,2.85,2467,83.5,16.3,0.2,0,57,0,899.96,8911470.93,6996137.92,
China,Argentina,2019,Exports & Imports,2838,542,64.16,12.25,-506824.78,6884154.38,7390979.17,0.36,0.28,7.12,5.95,1633,83.16,16.6,0.24,0,65,0,1.03,2575742.3,886511.41,7.12,5.95,1633,83.16,16.6,0.24,0,65,0,1.03,2575742.3,886511.41,
China,Armenia,2019,Exports & Imports,1680,182,37.98,4.11,-308210.65,223093.38,531304.03,0.03,0.01,7.3,0.5,499,92.38,7.62,0,0,40,0,0,19755.05,294201.52,7.3,0.5,499,92.38,7.62,0,0,40,0,0,19755.05,294201.52,
China,Antigua and Barbuda,2019,Exports & Imports,867,29,19.6,0.66,71866.72,71936.36,69.64,0,0,5.49,1.4,96,89.58,10.42,0,0,12,0,0,12.49,30.74,5.49,1.4,96,89.58,10.42,0,0,12,0,0,12.49,30.74,
China,Australia,2019,Exports & Imports,3647,2326,82.46,52.59,-73060109.58,48229553.59,121289663.2,5.83,1.93,0.47,0.75,6224,4.02,95.95,0.03,0,65,0,1081.48,5862089.56,95657535.88,7.16,1.91,6224,87.6,12.31,0.1,0,65,0,1927.54,27095989.63,74423635.81,1
