Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
"Other Asia, nes",Aruba,2019,Exports & Imports,,,,,-131.34,495.34,626.67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Afghanistan,2019,Exports & Imports,,,,,1124.86,1250.95,126.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Angola,2019,Exports & Imports,,,,,-186889.28,6638.79,193528.06,0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Anguila,2019,Exports & Imports,,,,,13.38,69.69,56.31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Albania,2019,Exports & Imports,,,,,1880.21,5464.39,3584.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Andorra,2019,Exports & Imports,,,,,224.48,256.75,32.27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",United Arab Emirates,2019,Exports & Imports,,,,,-3090423.18,1510446.76,4600869.94,1.61,0.46,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Argentina,2019,Exports & Imports,,,,,-21434.9,176505.74,197940.64,0.07,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Armenia,2019,Exports & Imports,,,,,4557.72,5875.96,1318.23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",American Samoa,2019,Exports & Imports,,,,,14999.77,16028.78,1029.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Antarctica,2019,Exports & Imports,,,,,20.06,26.6,6.54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Antigua and Barbuda,2019,Exports & Imports,,,,,-2536.41,325.73,2862.14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Australia,2019,Exports & Imports,,,,,-6826991.87,3240454.72,10067446.59,3.52,0.98,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Austria,2019,Exports & Imports,,,,,-384753.21,404992.82,789746.02,0.28,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Azerbaijan,2019,Exports & Imports,,,,,-714284.84,3211.34,717496.18,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Burundi,2019,Exports & Imports,,,,,-177.36,61.02,238.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
